# WAVE RELTPT CHARGE
6.220000000000000000e+02 9.679834223679760763e-01 3.859950000000000203e-06
6.250000000000000000e+02 9.752302959549735695e-01 2.546780000000000204e-06
6.280000000000000000e+02 9.807166375458952201e-01 3.410269999999999792e-06
6.310000000000000000e+02 9.835844406323565048e-01 2.808559999999999839e-06
6.340000000000000000e+02 1.000000000000000000e+00 5.400099999999999763e-07
6.370000000000000000e+02 9.841372956938732042e-01 2.716280000000000021e-06
6.400000000000000000e+02 9.837809491116746852e-01 2.765210000000000076e-06
6.430000000000000000e+02 9.809486416746657778e-01 3.097729999999999986e-06
6.460000000000000000e+02 9.887476913877379925e-01 2.842379999999999966e-06
6.490000000000000000e+02 9.839222456404180805e-01 2.704410000000000167e-06
6.510000000000000000e+02 9.850486828610101053e-01 2.881039999999999863e-06
6.540000000000000000e+02 9.990703246443790597e-01 6.461190000000000432e-07
6.570000000000000000e+02 9.856572020130991429e-01 2.180390000000000058e-06
6.600000000000000000e+02 9.783860843560074905e-01 2.865510000000000200e-06
6.630000000000000000e+02 9.769841681497405395e-01 2.380269999999999913e-06
6.660000000000000000e+02 9.703947512758601679e-01 3.717969999999999827e-06
6.690000000000000000e+02 9.684064041170469261e-01 2.832660000000000167e-06
6.720000000000000000e+02 9.679650516631101986e-01 2.615409999999999833e-06
6.750000000000000000e+02 1.017348803095767806e+00 1.758100000000000106e-07
6.780000000000000000e+02 9.835723710594274083e-01 3.094569999999999896e-07
6.810000000000000000e+02 9.444116489359555278e-01 1.981019999999999881e-06
6.840000000000000000e+02 9.398136847805588223e-01 2.683609999999999875e-06
6.870000000000000000e+02 9.316366630618274636e-01 2.605420000000000205e-06
6.900000000000000000e+02 9.242575287072191115e-01 3.175660000000000102e-06
6.930000000000000000e+02 9.132795462617615545e-01 2.403819999999999882e-06
6.960000000000000000e+02 9.793955774604335973e-01 1.683439999999999886e-07
6.990000000000000000e+02 1.350092001277359843e+00 1.806160000000000140e-08
7.020000000000000000e+02 9.023870226886526735e-01 3.936570000000000157e-07
7.050000000000000000e+02 8.744828258868659887e-01 1.104090000000000088e-06
7.080000000000000000e+02 8.681665444481665439e-01 7.666310000000000043e-07
7.110000000000000000e+02 8.773554267160300624e-01 2.438319999999999827e-07
7.140000000000000000e+02 8.533747692959658959e-01 4.023739999999999739e-07
7.170000000000000000e+02 8.960354982880448516e-01 1.292640000000000119e-07
7.200000000000000000e+02 4.380068231409516066e+00 2.884989999999999981e-09
7.230000000000000000e+02 2.069583582462688920e+00 6.856220000000000132e-09
7.260000000000000000e+02 9.717492181032338916e-01 6.799910000000000437e-08
7.290000000000000000e+02 8.573442216479152389e-01 9.674789999999999509e-08
7.320000000000000000e+02 9.106389034853842324e-01 6.919250000000000234e-08
7.350000000000000000e+02 7.447685345207126772e-01 3.315679999999999949e-07
7.380000000000000000e+02 7.173012064592473314e-01 9.322840000000000385e-07
7.410000000000000000e+02 6.953251718234496614e-01 5.840509999999999668e-07
7.440000000000000000e+02 7.572264650178640588e-01 1.196959999999999887e-07
7.470000000000000000e+02 7.831995632838941734e-01 1.298289999999999908e-07
7.500000000000000000e+02 6.348090710643251589e-01 1.045710000000000064e-06
7.530000000000000000e+02 6.144082000239166064e-01 2.501059999999999818e-06
7.560000000000000000e+02 6.087529005453787834e-01 2.020589999999999911e-06
7.590000000000000000e+02 5.806516849661100821e-01 1.806510000000000048e-06
7.620000000000000000e+02 5.675433222966140834e-01 3.398210000000000199e-06
7.650000000000000000e+02 5.626470822353134560e-01 3.214630000000000086e-06
7.680000000000000000e+02 5.372060868106707243e-01 4.699760000000000045e-06
7.710000000000000000e+02 5.293953112941953698e-01 2.343780000000000199e-06
7.740000000000000000e+02 5.371187205905276763e-01 3.442400000000000173e-07
7.770000000000000000e+02 5.132283522672305143e-01 3.795159999999999951e-07
7.800000000000000000e+02 4.856337443771038820e-01 1.500049999999999936e-06
7.830000000000000000e+02 4.744942631681294265e-01 2.473380000000000195e-06
7.860000000000000000e+02 4.539276644593964183e-01 1.948369999999999863e-06
7.890000000000000000e+02 4.453669968255065115e-01 1.676610000000000029e-06
7.920000000000000000e+02 4.278062763741388164e-01 3.001690000000000139e-06
7.950000000000000000e+02 4.160524915753872621e-01 4.204289999999999857e-06
7.980000000000000000e+02 4.038691242527365222e-01 3.097610000000000061e-06
8.000000000000000000e+02 3.980873523527425628e-01 1.044780000000000016e-06
8.010000000000000000e+02 3.995721671489955718e-01 3.999909999999999982e-07
8.040000000000000000e+02 5.324981402672264164e-01 6.055739999999999935e-08
8.070000000000000000e+02 3.923105348949828541e-01 3.194360000000000024e-07
8.100000000000000000e+02 3.504512734876679136e-01 2.424699999999999841e-06
8.130000000000000000e+02 3.373289036923443618e-01 4.569790000000000000e-06
8.160000000000000000e+02 3.254969648680780536e-01 4.685230000000000033e-06
8.190000000000000000e+02 3.171602450660712669e-01 3.384720000000000096e-06
8.220000000000000000e+02 3.028743309062008615e-01 3.616879999999999919e-06
8.250000000000000000e+02 2.936993447556748849e-01 4.498919999999999948e-06
8.280000000000000000e+02 2.810731167849815360e-01 3.457299999999999916e-06
8.310000000000000000e+02 2.714242777261756667e-01 4.956389999999999822e-06
8.340000000000000000e+02 2.583691438564995058e-01 4.619980000000000107e-06
8.370000000000000000e+02 2.513990216575985870e-01 1.800109999999999990e-06
8.400000000000000000e+02 2.488909334373259619e-01 8.511020000000000464e-07
8.430000000000000000e+02 2.338270271088732644e-01 1.451140000000000009e-06
8.460000000000000000e+02 2.230326102548165768e-01 3.624530000000000177e-06
8.490000000000000000e+02 2.155472077751756088e-01 3.279309999999999948e-06
8.520000000000000000e+02 2.087335704638107747e-01 4.172740000000000134e-06
8.550000000000000000e+02 2.014214704428420599e-01 3.207659999999999965e-06
8.580000000000000000e+02 1.957029846616682167e-01 3.012840000000000024e-06
8.610000000000000000e+02 1.886682238262672451e-01 3.276379999999999961e-06
8.640000000000000000e+02 1.822984865882817662e-01 3.682860000000000091e-06
8.670000000000000000e+02 1.746346955213262664e-01 3.719530000000000114e-06
8.700000000000000000e+02 1.726917824785033917e-01 1.871800000000000019e-06
8.730000000000000000e+02 1.652828814674281721e-01 7.644089999999999729e-07
8.760000000000000000e+02 1.629403541906050135e-01 7.033249999999999534e-07
8.790000000000000000e+02 1.507087520103072009e-01 1.582019999999999974e-06
8.820000000000000000e+02 1.446884683861867082e-01 3.718470000000000077e-06
8.850000000000000000e+02 1.371379596768759757e-01 4.159020000000000035e-06
8.880000000000000000e+02 1.375817278569329838e-01 3.418589999999999909e-06
8.910000000000000000e+02 1.229693150588348771e-01 3.945669999999999782e-06
8.940000000000000000e+02 1.277580930230211020e-01 4.225079999999999873e-06
8.970000000000000000e+02 1.123222173008528862e-01 3.480830000000000180e-06
9.000000000000000000e+02 1.136129586751888493e-01 4.217750000000000402e-06
9.030000000000000000e+02 1.093491773531753003e-01 3.894920000000000310e-06
9.060000000000000000e+02 9.846472187276347765e-02 3.672729999999999986e-06
9.090000000000000000e+02 1.040892651398505619e-01 4.041759999999999738e-06
4.000000000000000000e+02 1.601209052592234450e+00 1.529620000000000101e-08
9.120000000000000000e+02 8.813801388271548520e-02 1.349429999999999928e-06
4.030000000000000000e+02 6.162406146123708961e-01 1.995330000000000173e-06
9.150000000000000000e+02 1.097906041146155254e-01 2.828119999999999784e-07
4.060000000000000000e+02 6.496715077997431420e-01 6.031210000000000443e-07
9.180000000000000000e+02 9.140629971396629916e-02 2.991650000000000190e-07
4.090000000000000000e+02 6.518247678560993297e-01 2.532950000000000033e-06
4.120000000000000000e+02 6.689358950979136242e-01 2.703610000000000107e-06
